Hyperlink ,Redshift ,,,SFRD,Statistical Error,,Systematic Error,,AGN ,,Indicator,Extinction,Explanation,Std. Calibration Factors,,Cosmology Assumptions,,,Notes
,z,min,max,(Msun*yr^−1*Mpc^−3),(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,,,,Metallicity,IMF,H0,Ωm,ΩΛ ,
Takahashi et al. 2007,1.2,1.17,1.20,0.32,0.060,0.040,,,Y,,O[II],Y,Hopkins 2004 + Cardelli et al. 1989,N,Sal,70,0.3,0.7,
Morioka et al. 2008,0.24,,,0.035,0.024,0.014,,,Y,,H_alpha,Y,"Schlegel et al. 1998, AH_alpha = 1",Y,Sal,70,0.3,0.7,
Shioya et al. 2008,,0.23,0.25,0.018,0.007,0.004,,,Y,,H_alpha,Y,Capak et al. 2007 + Helmboldt et al. 2004,Y,Sal,70,0.3,0.7,non standard extinction method
Villar et al. 2008,0.84,,,0.17,0.03,0.03,,,N,,H_alpha,Y,Buat et al. 2005 + Calzetti et al. 2000,Y,Sal,70,0.3,0.7,
Dunne et al. 2009,0.12,0.00,0.20,0.009,0.006,0.006,,,N,,Radio,N,,N,Sal,71,0.27,0.73,"Data has been digitized, so may not be perfectly accurate, assuming Bell 2003 relation and LF corrections"
,0.34,0.20,0.40,0.03,0.011,0.011,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,0.49,0.40,0.60,0.039,0.012,0.011,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,0.71,0.60,0.80,0.07,0.018,0.017,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,0.91,0.80,1.00,0.079,0.018,0.018,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,1.09,1.00,1.20,0.112,0.026,0.026,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,1.31,1.20,1.40,0.133,0.028,0.029,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,1.49,1.40,1.60,0.2,0.04,0.04,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,1.7,1.60,1.80,0.179,0.031,0.031,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
,1.89,1.80,2.00,0.161,0.025,0.026,,,N,,Radio,N,,N,Sal,71,0.27,0.73,
Shim et al. 2009,1.1,0.7,1.4,0.088,0.056,0.056,,,Y,,H_alpha,Y,"Kennicutt et al. 1992, AH_alpha = 0.85",Y,Sal,71,0.3,0.7,
,1.6,1.400,1.900,0.256,0.174,0.174,,,Y,,H_alpha,Y,"Kennicutt et al. 1992, AH_alpha = 0.85",Y,Sal,71,0.3,0.7,
Smolcic et al. 2009,,0.1,0.35,0.023,0.002,0.002,,,N,,Radio,N,,N,Sal,70,0.3,0.7,
,,0.35,0.6,0.032,0.003,0.002,,,N,,Radio,N,,N,Sal,70,0.3,0.7,
,,0.6,0.9,0.048,0.003,0.004,,,N,,Radio,N,,N,Sal,70,0.3,0.7,
,,0.9,1.3,0.088,0.005,0.005,,,N,,Radio,N,,N,Sal,70,0.3,0.7,
Sobral et al. 2009,0.84,,,0.15,0.01,0.01,,,Y,,H_alpha,Y,AH_alpha = 1,Y,Sal,70,0.3,0.7,
Zhu et 2009,,0.750,0.930,0.090,0.020,0.020,,,N,,O[II],Y,Moustakas et al. 2006,N,Sal,70,0.3,0.7,using non standard extinction method
,,0.930,1.100,0.100,0.030,0.020,,,N,,O[II],Y,Moustakas et al. 2006,N,Sal,70,0.3,0.7,using non standard extinction method
,,1.10,1.28,0.12,0.07,0.03,,,N,,O[II],Y,Moustakas et al. 2006,N,Sal,70,0.3,0.7,using non standard extinction method
,,1.28,1.45,0.14,0.05,0.03,,,N,,O[II],Y,Moustakas et al. 2006,N,Sal,70,0.3,0.7,using non standard extinction method
Dale et al. 2010,0.16,,,0.01,0.001,0.001,,,Y,,H_alpha,Y,Hopkins et al. 2001 + Arnouts et al. 2002 + Ilbert et al. 2006,Y,Sal,70,0.3,0.7,non standard extinction method
,0.24,,,0.013,0.001,0.001,,,Y,,H_alpha,Y,Hopkins et al. 2001 + Arnouts et al. 2002 + Ilbert et al. 2006,Y,Sal,70,0.3,0.7,non standard extinction method
,0.32,,,0.021,0.001,0.001,,,Y,,H_alpha,Y,Hopkins et al. 2001 + Arnouts et al. 2002 + Ilbert et al. 2006,Y,Sal,70,0.3,0.7,non standard extinction method
,0.4,,,0.024,0.002,0.002,,,Y,,H_alpha,Y,Hopkins et al. 2001 + Arnouts et al. 2002 + Ilbert et al. 2006,Y,Sal,70,0.3,0.7,non standard extinction method
Rodighiero et al. 2010,0.15,,,0.02,0.006,0.006,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,0.375,,,0.037,0.014,0.009,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,0.525,,,0.069,0.023,0.02,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,0.7,,,0.094,0.038,0.025,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,0.9,,,0.126,0.038,0.027,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,1.1,,,0.193,0.039,0.064,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,1.5,,,0.204,0.054,0.08,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
,1.85,,,0.208,0.105,0.102,,,Y,,IR,N,,N,Sal,70,0.3,0.7,
Vaccari et al. 2010,,0.00,0.20,0.023,0.004,0.004,,,N,,IR,N,,N,Sal,72,0.28,0.72,used kennicutt SFR relation
Westra et al. 2010,,0.01,0.10,0.006,0.002,0.002,,,Y,,H_alpha,Y,Calzetti 2001 + Calzetti et al. 2000,Y,Sal,71,0.27,0.73,non standard extinction method
,,0.10,0.20,0.011,0.004,0.003,,,Y,,H_alpha,Y,Calzetti 2001 + Calzetti et al. 2000,Y,Sal,71,0.27,0.73,non standard extinction method
,,0.200,0.300,0.014,0.006,0.004,,,Y,,H_alpha,Y,Calzetti 2001 + Calzetti et al. 2000,Y,Sal,71,0.27,0.73,non standard extinction method
,,0.300,0.377,0.017,0.001,0.002,,,Y,,H_alpha,Y,Calzetti 2001 + Calzetti et al. 2000,Y,Sal,71,0.27,0.73,non standard extinction method
,,0.233,0.251,0.011,0.008,0.005,,,Y,,H_alpha,Y,Calzetti 2001 + Calzetti et al. 2000,Y,Sal,71,0.27,0.73,non standard extinction method
Bayliss et al. 2011,1.85,,,0.240,0.06,0.06,,,N,,O[II],Y,Kennicutt et al. 2009,N,Sal,70,0.3,0.7,using non standard extinction method
Bothwell et al. 2011,,0.01,0.10,0.025,0.002,0.002,,,Y,,FUV + IR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,72,0.27,0.73,
Karim et al. 2011,0.3,,,0.018,0.002,0.006,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,0.5,,,0.023,0.002,0.006,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,0.7,,,0.039,0.003,0.009,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,0.9,,,0.055,0.002,0.008,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,1.1,,,0.061,0.003,0.005,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,1.4,,,0.063,0.004,0.007,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,1.8,,,0.095,0.014,0.014,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,2.25,,,0.098,0.011,0.009,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
,2.75,,,0.121,0.017,0.017,,,N,,Radio,Y,Calzetti et al. 2000,N,Chabrier,70,0.3,0.7,
Ly et al. 2011,0.809,0.801,0.817,0.1,0.05,0.03,0.01,0.009,Y,,H_alpha,Y,Hopkins et al. 2001,Y,Sal,70,0.3,0.7,"flagged for important paper, non standard extinction method"
Robotham & Driver 2011,,0.013,0.1,0.031,0.002,0.002,,,N,,FUV to NUV,Y,Schlegal et al. 1998 + Wyder et al. 2007 + Driver et al. 2008,N,Sal,100,0.3,0.7,Uses Kennicutt 1998
Cucciati et al. 2012,,0.05,0.2,0.022,0.011,0.008,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,0.2,0.4,0.036,0.012,0.009,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,0.4,0.6,0.046,0.012,0.009,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,0.6,0.8,0.071,0.016,0.013,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,0.8,1,0.126,0.029,0.021,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,1,1.2,0.141,0.033,0.026,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
,,1.2,1.7,0.141,0.058,0.024,,,N,,FUV,Y,Calzetti et al. 2000,N,Sal,70,0.3,0.7,
Sobral et al. 2012,0.84,0.82,0.86,0.13,0.06,0.06,,,Y,,H_alpha,Y,AH_alpha = 1,Y,Sal,70,0.3,0.7,
,1.47,1.45,1.49,0.16,0.05,0.05,,,Y,,H_alpha,Y,AH_alpha = 1,Y,Sal,70,0.3,0.7,
,1.47,1.45,1.49,0.170,0.040,0.040,,,Y,,O[II],Y,Calzetti et al. 2000,Y,Sal,70,0.3,0.7,Dust correction H_alpha corrected
Burgarella et al. 2013,0,,,0.019,0.010,0.010,,,Y,,FUV + FIR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,70,0.3,0.7,
,0.45,,,0.054,0.005,0.005,,,Y,,FUV + FIR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,70,0.3,0.7,
,0.9,,,0.131,0.019,0.019,,,Y,,FUV + FIR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,70,0.3,0.7,
,1.35,,,0.174,0.034,0.034,,,Y,,FUV + FIR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,70,0.3,0.7,
,1.8,,,0.177,0.036,0.036,,,Y,,FUV + FIR,Y,"Burgarella, Buat & Iglesias-Paramo 2005",N,Sal,70,0.3,0.7,
Ciardullo et al. 2013,,0,0.2,0.010,0.003,0.002,,,Y,,O[II],Y,Calzetti 2001,Y,Sal,70,0.3,0.7,using non standard extinction method
,,0.2,0.325,0.021,0.004,0.004,,,Y,,O[II],Y,Calzetti 2001,Y,Sal,70,0.3,0.7,using non standard extinction method
,,0.325,0.45,0.025,0.004,0.003,,,Y,,O[II],Y,Calzetti 2001,Y,Sal,70,0.3,0.7,using non standard extinction method
,,0.45,0.56,0.028,0.005,0.004,,,Y,,O[II],Y,Calzetti 2001,Y,Sal,70,0.3,0.7,using non standard extinction method
Gunawardhana et al. 2013,,0,0.1,0.006,0.000,0.000,,,"Y, AGNs excluded",,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003) , SDSS"
,,0.1,0.2,0.003,0.000,0.000,,,"Y, AGNs excluded",,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003), SDSS"
,,0,0.1,0.009,0.000,0.000,,,Y,,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003), GAMA"
,,0.1,0.15,0.008,0.000,0.000,,,Y,,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003), GAMA"
,,0.17,0.24,0.008,0.000,0.000,,,Y,,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003), GAMA"
,,0.240,0.350,0.013,0.00012,0.00012,,,Y,,H_alpha,Y,"Schlegal et al. 1998 + Cardelli et al. 1989, AH_alpha = 1",Y,BG,70,0.3,0.7,"IMF used is Baldry & Glazebook (2003), GAMA"
Gruppioni et al. 2013,,0,0.3,0.014,0.003,0.003,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.3,0.45,0.023,0.002,0.002,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.45,0.6,0.028,0.003,0.003,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.6,0.8,0.042,0.006,0.006,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.8,1,0.066,0.008,0.008,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1,1.2,0.090,0.01,0.01,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1.2,1.7,0.084,0.007,0.007,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1.7,2,0.079,0.005,0.005,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
Magnelli et al. 2013,0,,,0.013,0.001,0.001,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.25,,,0.014,0.002,0.002,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.55,,,0.042,0.009,0.009,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.85,,,0.054,0.014,0.014,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,1.15,,,0.075,0.025,0.027,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,1.55,,,0.079,0.028,0.027,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
Sobral et al. 2013,0.4,0.39,0.41,0.012,0.001,0.001,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,10% AGN correction
,0.84,0.82,0.86,0.045,0.001,0.001,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,10% AGN correction
,1.47,1.45,1.49,0.095,0.006,0.006,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,15% AGN correction
Planck collab 2014,,1,1.5,0.423,0.123,0.123,,,N,,IR,Y,Planck analysis,N,Sal,67.3,0.315,0.685,
,,1.5,3,0.292,0.138,0.138,,,N,,IR,Y,Planck analysis,N,Sal,67.3,0.315,0.685,
Gruppioni et al. 2015,,0.000,0.300,0.025,0.005,0.005,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.300,0.450,0.035,0.010,0.010,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.450,0.600,0.049,0.014,0.014,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.600,0.800,0.056,0.013,0.013,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.800,1.000,0.064,0.016,0.016,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1,1.2,0.062,0.014,0.014,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.20,1.70,0.082,0.021,0.021,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.70,2.00,0.071,0.019,0.019,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,2.00,2.50,0.062,0.021,0.021,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,2.50,3.00,0.056,0.020,0.020,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,3.00,4.20,0.028,0.012,0.012,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.00,0.30,0.022,0.016,0.016,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.30,0.45,0.028,0.012,0.012,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
